level,episode_idx,episode,type,moves,target_score,goal_text,goal_icons,goal_nums,difficulty,difficulty_rank,remarks
424,29,Soda_Swamp_(Episode_29),Order,17,30000,: 36 : 6,Bubblegum Pop order.png|Yellowcandy order.png,36|6,Hard,6,
425,29,Soda_Swamp_(Episode_29),Jelly,18,182000,: 75,Double jelly-removebg-preview.png,75,Very hard,7,
426,30,Rainbow_Runway,Mixed,18,170000,: 20 : 35 : 10,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Gummi Dragon order.png,20|35|10,Easy,2,
427,30,Rainbow_Runway,Jelly,23,100000,: 72,Double jelly-removebg-preview.png,72,Medium,4,
428,30,Rainbow_Runway,Ingredients,22,50000,: 4,Gummi Dragon order.png,4,Somewhat easy,3,
429,30,Rainbow_Runway,Order,21,50000,: 93,One-layered Toffee Swirl.png,93,Medium,4,
430,30,Rainbow_Runway,Mixed,21,100000,: 63 : 12,Double jelly-removebg-preview.png|Gummi Dragon order.png,63|12,Extremely hard,8,A level that had a similar board to level 65.
431,30,Rainbow_Runway,Ingredients,19,20000,: 2,Gummi Dragon order.png,2,Very easy,1,
432,30,Rainbow_Runway,Jelly,18,112000,: 54,Double jelly-removebg-preview.png,54,Very easy,1,
433,30,Rainbow_Runway,Ingredients,19,150000,: 75,Double jelly-removebg-preview.png,75,Easy,2,
434,30,Rainbow_Runway,Mixed,21,50000,: 67 : 6,Double jelly-removebg-preview.png|Jelly Fish order 2.png,67|6,Medium,4,
435,30,Rainbow_Runway,Mixed,23,100000,: 65 : 16,Double jelly-removebg-preview.png|Gummi Dragon order.png,65|16,Nearly impossible,9,
436,30,Rainbow_Runway,Ingredients,24,90000,: 9,Gummi Dragon order.png,9,Somewhat easy,3,
437,30,Rainbow_Runway,Mixed,21,153000,: 15 : 54 : 3,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Gummi Dragon order.png,15|54|3,Medium,4,
438,30,Rainbow_Runway,Order,20,3000,: 30,Chocolate order.png,30,Somewhat hard,5,
439,30,Rainbow_Runway,Mixed,19,50000,: 32 : 76 : 64,Double jelly-removebg-preview.png|Bubblegum Pop order.png|One-layered Toffee Swirl.png,32|76|64,Easy,2,
440,30,Rainbow_Runway,Mixed,28,50000,: 72 : 1,Double jelly-removebg-preview.png|Gummi Dragon order.png,72|1,Hard,6,Formerly the level with the most number of under a
441,31,Butterscotch_Boulders_(Episode_31),Order,20,5300,: 56 : 1,One-layered Toffee Swirl.png|Cake Bomb order.png,56|1,Very easy,1,is introduced
442,31,Butterscotch_Boulders_(Episode_31),Jelly,19,6800,: 71,Double jelly-removebg-preview.png,71,Very easy,1,
443,31,Butterscotch_Boulders_(Episode_31),Mixed,19,88200,: 70 : 2,Double jelly-removebg-preview.png|Cake Bomb order.png,70|2,Easy,2,
444,31,Butterscotch_Boulders_(Episode_31),Ingredients,17,20000,: 6,Gummi Dragon order.png,6,Extremely hard,8,
445,31,Butterscotch_Boulders_(Episode_31),Mixed,18,50000,: 62 : 2,Double jelly-removebg-preview.png|Gummi Dragon order.png,62|2,Very hard,7,
446,31,Butterscotch_Boulders_(Episode_31),Mixed,20,120000,: 5 : 61 : 20,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Multilayered frosting 2024 FTUE order.png,5|61|20,Somewhat hard,5,
447,31,Butterscotch_Boulders_(Episode_31),Ingredients,20,30000,: 3,Gummi Dragon order.png,3,Medium,4,
448,31,Butterscotch_Boulders_(Episode_31),Jelly,23,100000,: 12 : 52,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,12|52,Easy,2,
449,31,Butterscotch_Boulders_(Episode_31),Mixed,23,200000,: 81 : 40,Double jelly-removebg-preview.png|Gummi Dragon order.png,81|40,Very hard,7,
450,31,Butterscotch_Boulders_(Episode_31),Order,24,17200,: 70 : 70 : 40,Bubblegum Pop order.png|Multilayered frosting 2024 FTUE order.png|Liquorice Swirl order.png,70|70|40,Extremely hard,8,
451,31,Butterscotch_Boulders_(Episode_31),Mixed,16,130000,: 61 : 70,Double jelly-removebg-preview.png|One-layered Toffee Swirl.png,61|70,Easy,2,
452,31,Butterscotch_Boulders_(Episode_31),Jelly,17,200000,: 58,Double jelly-removebg-preview.png,58,Hard,6,
453,31,Butterscotch_Boulders_(Episode_31),Ingredients,15,30000,: 4,Gummi Dragon order.png,4,Very easy,1,
454,31,Butterscotch_Boulders_(Episode_31),Order,24,20000,: 195,One-layered Toffee Swirl.png,195,Medium,4,
455,31,Butterscotch_Boulders_(Episode_31),Jelly,19,100000,: 77,Double jelly-removebg-preview.png,77,Extremely hard,8,
456,32,Sugary_Shire_(Episode_32),Mixed,21,136000,: 8 : 40 : 4,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Gummi Dragon order.png,8|40|4,Easy,2,
457,32,Sugary_Shire_(Episode_32),Order,16,11200,: 64 : 78,One-layered Toffee Swirl.png|Bubblegum Pop order.png,64|78,Hard,6,
458,32,Sugary_Shire_(Episode_32),Jelly,15,100000,: 4 : 34,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,4|34,Very easy,1,
459,32,Sugary_Shire_(Episode_32),Ingredients,17,25000,: 7,Gummi Dragon order.png,7,Somewhat hard,5,"It used to have the highest number of , with 9"
460,32,Sugary_Shire_(Episode_32),Jelly,24,120000,: 60,Double jelly-removebg-preview.png,60,Extremely hard,8,
461,32,Sugary_Shire_(Episode_32),Order,19,2000,: 20,Liquorice Swirl order.png,20,Somewhat easy,3,
462,32,Sugary_Shire_(Episode_32),Mixed,16,100000,: 52 : 1 : 76,Double jelly-removebg-preview.png|Cake Bomb order.png|Bubblegum Pop order.png,52|1|76,Very hard,7,
463,32,Sugary_Shire_(Episode_32),Mixed,15,20000,: 29 : 2,Double jelly-removebg-preview.png|Gummi Dragon order.png,29|2,Very easy,1,
464,32,Sugary_Shire_(Episode_32),Jelly,17,146000,: 74,Double jelly-removebg-preview.png,74,Very hard,7,
465,32,Sugary_Shire_(Episode_32),Order,19,8900,: 51 : 59 : 39,One-layered Toffee Swirl.png|Multilayered frosting 2024 FTUE order.png|Bubblegum Pop order.png,51|59|39,Nearly impossible,9,
466,32,Sugary_Shire_(Episode_32),Ingredients,16,40000,: 2,Gummi Dragon order.png,2,Very easy,1,
467,32,Sugary_Shire_(Episode_32),Jelly,18,120000,: 12 : 49,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,12|49,Very easy,1,
468,32,Sugary_Shire_(Episode_32),Mixed,22,113000,: 53 : 6,Single jelly-removebg-preview (1).png|Gummi Dragon order.png,53|6,Easy,2,
469,32,Sugary_Shire_(Episode_32),Mixed,15,100000,: 5 : 38 : 153 : 2,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Bubblegum Pop order.png|Cake Bomb order.png,5|38|153|2,Nearly impossible,9,
470,32,Sugary_Shire_(Episode_32),Jelly,16,50000,: 52,Double jelly-removebg-preview.png,52,Very hard,7,Used to had the highest number of moves in a
471,33,Waffle_Workshop,Ingredients,15,30000,: 3,Gummi Dragon order.png,3,Somewhat easy,3,
472,33,Waffle_Workshop,Order,19,6000,: 80,One-layered Toffee Swirl.png,80,Somewhat hard,5,It was possible to fail the level once you started due to the large amount of blockers.
473,33,Waffle_Workshop,Mixed,15,25000,: 24 : 4,Double jelly-removebg-preview.png|Gummi Dragon order.png,24|4,Easy,2,
474,33,Waffle_Workshop,Jelly,20,110000,: 52,Double jelly-removebg-preview.png,52,Hard,6,
475,33,Waffle_Workshop,Mixed,20,66000,: 20 : 8 : 115,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|One-layered Toffee Swirl.png,20|8|115,Nearly impossible,9,
476,33,Waffle_Workshop,Order,20,4500,: 63,One-layered Toffee Swirl.png,63,Easy,2,Board is exactly the same as level 147 is unofficially introduced
477,33,Waffle_Workshop,Ingredients,17,30000,: 3,Gummi Dragon order.png,3,Hard,6,
478,33,Waffle_Workshop,Mixed,15,110000,: 69 : 6,Double jelly-removebg-preview.png|Gummi Dragon order.png,69|6,Medium,4,
479,33,Waffle_Workshop,Mixed,20,149200,: 51 : 28 : 2,Double jelly-removebg-preview.png|Liquorice Swirl order.png|Cake Bomb order.png,51|28|2,Hard,6,
480,33,Waffle_Workshop,Order,18,4500,: 42,Bubblegum Pop order.png,42,Extremely hard,8,
481,33,Waffle_Workshop,Jelly,15,25000,: 48,Double jelly-removebg-preview.png,48,Medium,4,
482,33,Waffle_Workshop,Ingredients,16,30000,: 3,Gummi Dragon order.png,3,Nearly impossible,9,
483,33,Waffle_Workshop,Mixed,15,25000,: 42 : 44,Double jelly-removebg-preview.png|Bluecandy order.png,42|44,Easy,2,
484,33,Waffle_Workshop,Mixed,17,200000,: 25 : 47 : 25,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Gummi Dragon order.png,25|47|25,Nearly impossible,9,
485,33,Waffle_Workshop,Jelly,22,100000,: 66,Double jelly-removebg-preview.png,66,Very hard,7,
486,34,Meringue_Moor_(Episode_34),Order,15,2700,: 27,One-layered Toffee Swirl.png,27,Very easy,1,
487,34,Meringue_Moor_(Episode_34),Order,18,15000,: 32 : 21,One-layered Toffee Swirl.png|Icing order new.png,32|21,Very easy,1,
488,34,Meringue_Moor_(Episode_34),Mixed,18,40000,: 31 : 26 : 2,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Gummi Dragon order.png,31|26|2,Easy,2,
489,34,Meringue_Moor_(Episode_34),Ingredients,21,40000,: 4,Gummi Dragon order.png,4,Hard,6,
490,34,Meringue_Moor_(Episode_34),Jelly,18,50000,: 57,Double jelly-removebg-preview.png,57,Nearly impossible,9,
491,34,Meringue_Moor_(Episode_34),Mixed,22,93400,: 35 : 32 : 7,Double jelly-removebg-preview.png|One-layered Toffee Swirl.png|Liquorice Swirl order.png,35|32|7,Easy,2,
492,34,Meringue_Moor_(Episode_34),Order,21,15700,: 60 : 125,Bubblegum Pop order.png|Icing order new.png,60|125,Hard,6,
493,34,Meringue_Moor_(Episode_34),Jelly,24,25000,: 25,Double jelly-removebg-preview.png,25,Very easy,1,
494,34,Meringue_Moor_(Episode_34),Mixed,22,98500,: 56 : 17 : 85,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|One-layered Toffee Swirl.png,56|17|85,Nearly impossible,9,
495,34,Meringue_Moor_(Episode_34),Mixed,19,50000,: 41 : 4,Double jelly-removebg-preview.png|Gummi Dragon order.png,41|4,Nearly impossible,9,
496,34,Meringue_Moor_(Episode_34),Order,15,25000,: 95 : 95 : 95,Bluecandy order.png|Purplecandy order.png|Bubblegum Pop order.png,95|95|95,Very easy,1,
497,34,Meringue_Moor_(Episode_34),Jelly,24,102000,: 12 : 39,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,12|39,Medium,4,
498,34,Meringue_Moor_(Episode_34),Mixed,24,50000,: 24 : 24 : 5,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Chocolate order.png,24|24|5,Somewhat easy,3,
499,34,Meringue_Moor_(Episode_34),Ingredients,21,30000,: 3,Gummi Dragon order.png,3,Somewhat hard,5,
500,34,Meringue_Moor_(Episode_34),Jelly,23,50000,: 66,Double jelly-removebg-preview.png,66,Very hard,7,The 5th milestone level in Reality
501,35,Ice_Cream_Caves_(Episode_35),Unknown,25,90000,: 13 : 38,,13|38,Medium,4,
502,35,Ice_Cream_Caves_(Episode_35),Unknown,20,20000,: 2,,2,Hard,6,
503,35,Ice_Cream_Caves_(Episode_35),Unknown,30,20000,: 2 : 2,,2|2,Very easy,1,
504,35,Ice_Cream_Caves_(Episode_35),Unknown,30,30000,: 12,,12,Somewhat easy,3,
505,35,Ice_Cream_Caves_(Episode_35),Unknown,35,100000,: 37,,37,Extremely hard,8,
506,35,Ice_Cream_Caves_(Episode_35),Unknown,22,50000,: 4,,4,Medium,4,
507,35,Ice_Cream_Caves_(Episode_35),Unknown,22,80000,: 34,,34,Somewhat hard,5,
508,35,Ice_Cream_Caves_(Episode_35),Unknown,22,50000,: 24,,24,Somewhat easy,3,
509,35,Ice_Cream_Caves_(Episode_35),Unknown,29,70000,: 4,,4,Easy,2,
510,35,Ice_Cream_Caves_(Episode_35),Unknown,20,30000,: 2,,2,Very hard,7,
511,35,Ice_Cream_Caves_(Episode_35),Unknown,24,60000,: 5 : 45,,5|45,Easy,2,
512,35,Ice_Cream_Caves_(Episode_35),Unknown,20,50000,: 10 : 55,,10|55,Medium,4,
513,35,Ice_Cream_Caves_(Episode_35),Unknown,25,50000,: 67,,67,Somewhat hard,5,
514,35,Ice_Cream_Caves_(Episode_35),Unknown,24,20000,: 2,,2,Hard,6,
515,35,Ice_Cream_Caves_(Episode_35),Unknown,20,70000,: 32,,32,Nearly impossible,9,Last Reality level that was released in 2013
516,36,Sour_Salon,Order,21,40000,: 100 : 100 : 100,Purplecandy order.png|Bluecandy order.png|Orangecandy order.png,100|100|100,Hard,6,First Reality level that was released in 2014
517,36,Sour_Salon,Mixed,24,125500,: 38 : 41 : 25 : 40,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Chocolate order.png|Candy Bomb order 2.png,38|41|25|40,Somewhat hard,5,
518,36,Sour_Salon,Ingredients,15,25000,: 6,Gummi Dragon order.png,6,Very easy,1,
519,36,Sour_Salon,Mixed,16,171000,: 27 : 12 : 12,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Gummi Dragon order.png,27|12|12,Extremely hard,8,
520,36,Sour_Salon,Jelly,20,50000,: 56,Double jelly-removebg-preview.png,56,Very hard,7,
521,36,Sour_Salon,Mixed,20,25000,: 51 : 10 : 60,Double jelly-removebg-preview.png|Jelly Fish order 2.png|Bluecandy order.png,51|10|60,Hard,6,
522,36,Sour_Salon,Order,16,15000,: 3 : 22,Yellowcandy order.png|Liquorice Swirl order.png,3|22,Somewhat easy,3,
523,36,Sour_Salon,Ingredients,16,40000,: 4,Gummi Dragon order.png,4,Very easy,1,
524,36,Sour_Salon,Jelly,21,108000,: 54,Double jelly-removebg-preview.png,54,Very hard,7,
525,36,Sour_Salon,Mixed,18,50000,: 45 : 12,Double jelly-removebg-preview.png|Gummi Dragon order.png,45|12,Hard,6,
526,36,Sour_Salon,Mixed,16,50000,: 43 : 30,Double jelly-removebg-preview.png|One-layered Toffee Swirl.png,43|30,Medium,4,
527,36,Sour_Salon,Jelly,19,128000,: 18 : 39,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,18|39,Somewhat easy,3,
528,36,Sour_Salon,Order,15,20000,: 2 : 18,Cake Bomb order.png|One-layered Toffee Swirl.png,2|18,Medium,4,
529,36,Sour_Salon,Ingredients,20,80000,: 9,Gummi Dragon order.png,9,Medium,4,
530,36,Sour_Salon,Mixed,25,100000,: 54 : 40,Double jelly-removebg-preview.png|Icing order new.png,54|40,Hard,6,
531,37,Sticky_Savannah,Jelly,22,6000,: 5,Single jelly-removebg-preview (1).png,5,Very easy,1,was introduced here
532,37,Sticky_Savannah,Mixed,15,6000,: 11 : 1,Single jelly-removebg-preview (1).png|Candy Frog order 2.png,11|1,Extremely hard,8,
533,37,Sticky_Savannah,Mixed,20,119500,: 56 : 75,Double jelly-removebg-preview.png|Icing order new.png,56|75,Somewhat easy,3,
534,37,Sticky_Savannah,Ingredients,18,25000,: 7,Gummi Dragon order.png,7,Easy,2,
535,37,Sticky_Savannah,Mixed,17,50000,: 66 : 2,Double jelly-removebg-preview.png|Gummi Dragon order.png,66|2,Extremely hard,8,
536,37,Sticky_Savannah,Mixed,20,130000,: 49 : 18,Double jelly-removebg-preview.png|Icing order new.png,49|18,Medium,4,
537,37,Sticky_Savannah,Jelly,16,25000,: 4 : 41,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,4|41,Very hard,7,
538,37,Sticky_Savannah,Ingredients,15,40000,: 4,Gummi Dragon order.png,4,Very hard,7,
539,37,Sticky_Savannah,Mixed,24,120000,: 65 : 80,Double jelly-removebg-preview.png|One-layered Toffee Swirl.png,65|80,Extremely hard,8,
540,37,Sticky_Savannah,Jelly,17,50000,: 66,Double jelly-removebg-preview.png,66,Extremely hard,8,
541,37,Sticky_Savannah,Mixed,27,200000,: 54 : 72 : 5,Single jelly-removebg-preview (1).png|Icing order new.png|Color bomb (trans).png,54|72|5,Hard,6,100th level
542,37,Sticky_Savannah,Ingredients,22,60000,: 6,Gummi Dragon order.png,6,Very easy,1,
543,37,Sticky_Savannah,Mixed,23,100000,: 46 : 5,Double jelly-removebg-preview.png|Gummi Dragon order.png,46|5,Easy,2,
544,37,Sticky_Savannah,Order,22,18000,: 65 : 65,Purplecandy order.png|Bluecandy order.png,65|65,Somewhat easy,3,
545,37,Sticky_Savannah,Mixed,25,166100,: 78 : 108,Double jelly-removebg-preview.png|One-layered Toffee Swirl.png,78|108,Very hard,7,
546,38,Jelly_Wagon,Ingredients,15,100000,: 16,Gummi Dragon order.png,16,Very easy,1,
547,38,Jelly_Wagon,Order,15,18000,: 36 : 1 : 16,Multilayered frosting 2024 FTUE order.png|Candy Frog order 2.png|One-layered Toffee Swirl.png,36|1|16,Very hard,7,
548,38,Jelly_Wagon,Mixed,22,200000,: 75 : 30,Double jelly-removebg-preview.png|Bubblegum Pop order.png,75|30,Somewhat hard,5,
549,38,Jelly_Wagon,Ingredients,16,60000,: 6,Gummi Dragon order.png,6,Easy,2,
550,38,Jelly_Wagon,Jelly,17,145000,: 74,Double jelly-removebg-preview.png,74,Very hard,7,
551,38,Jelly_Wagon,Mixed,20,100000,: 60 : 2,Double jelly-removebg-preview.png|Gummi Dragon order.png,60|2,Easy,2,
552,38,Jelly_Wagon,Mixed,16,50000,: 40 : 16 : 16,Double jelly-removebg-preview.png|Yellowcandy order.png|Redcandy order.png,40|16|16,Hard,6,
553,38,Jelly_Wagon,Order,17,60000,: 70 : 90,One-layered Toffee Swirl.png|Greencandy order.png,70|90,Somewhat easy,3,
554,38,Jelly_Wagon,Jelly,23,118000,: 8 : 54,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,8|54,Easy,2,
555,38,Jelly_Wagon,Order,18,11000,: 45 : 71,Liquorice Swirl order.png|Multilayered frosting 2024 FTUE order.png,45|71,Nearly impossible,9,
556,38,Jelly_Wagon,Ingredients,19,60000,: 5,Gummi Dragon order.png,5,Somewhat easy,3,
557,38,Jelly_Wagon,Jelly,18,71000,: 53,Single jelly-removebg-preview (1).png,53,Very easy,1,
558,38,Jelly_Wagon,Order,15,3000,: 25 : 14,Liquorice Swirl order.png|Yellowcandy order.png,25|14,Very easy,1,
559,38,Jelly_Wagon,Mixed,23,50000,: 73 : 20,Double jelly-removebg-preview.png|Jelly Fish order 2.png,73|20,Extremely hard,8,
560,38,Jelly_Wagon,Jelly,23,25000,: 57,Double jelly-removebg-preview.png,57,Medium,4,
561,39,Biscuit_Bungalow,Mixed,24,400000,: 55 : 3,Double jelly-removebg-preview.png|Gummi Dragon order.png,55|3,Somewhat hard,5,
562,39,Biscuit_Bungalow,Order,15,1900,: 2 : 16,Candy Frog order 2.png|Liquorice Swirl order.png,2|16,Easy,2,
563,39,Biscuit_Bungalow,Ingredients,15,30000,: 3,Gummi Dragon order.png,3,Easy,2,
564,39,Biscuit_Bungalow,Jelly,27,128000,: 14 : 57,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,14|57,Medium,4,
565,39,Biscuit_Bungalow,Mixed,25,152900,: 51 : 45,Double jelly-removebg-preview.png|One-layered Toffee Swirl.png,51|45,Medium,4,
566,39,Biscuit_Bungalow,Order,17,8000,: 30 : 20,Yellowcandy order.png|Liquorice Swirl order.png,30|20,Easy,2,
567,39,Biscuit_Bungalow,Ingredients,19,40000,: 4,Gummi Dragon order.png,4,Very easy,1,
568,39,Biscuit_Bungalow,Jelly,18,64000,: 39 : 25,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,39|25,Very easy,1,
569,39,Biscuit_Bungalow,Mixed,22,100000,: 51 : 5,Double jelly-removebg-preview.png|Gummi Dragon order.png,51|5,Very easy,1,
570,39,Biscuit_Bungalow,Mixed,27,71000,: 63 : 80,Single jelly-removebg-preview (1).png|One-layered Toffee Swirl.png,63|80,Somewhat hard,5,
571,39,Biscuit_Bungalow,Jelly,25,128000,: 42 : 22,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,42|22,Very easy,1,
572,39,Biscuit_Bungalow,Order,21,7500,: 48,One-layered Toffee Swirl.png,48,Easy,2,
573,39,Biscuit_Bungalow,Ingredients,20,25000,: 9,Gummi Dragon order.png,9,Very easy,1,
574,39,Biscuit_Bungalow,Mixed,24,120000,: 24 : 36 : 8 : 52,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Liquorice Swirl order.png|Multilayered frosting 2024 FTUE order.png,24|36|8|52,Somewhat easy,3,
575,39,Biscuit_Bungalow,Jelly,20,100000,: 75,Double jelly-removebg-preview.png,75,Easy,2,
576,40,Gummy_Gardens_(Episode_40),Jelly,15,100000,: 64,Double jelly-removebg-preview.png,64,Hard,6,
577,40,Gummy_Gardens_(Episode_40),Order,19,8000,: 36 : 36,Striped2 (trans).png|Liquorice Swirl order.png,36|36,Somewhat hard,5,
578,40,Gummy_Gardens_(Episode_40),Mixed,21,125400,: 12 : 46 : 100,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Icing order new.png,12|46|100,Very easy,1,Former hardest level in the entire game This level used to be impossible because of a jelly under a chocolate fountain
579,40,Gummy_Gardens_(Episode_40),Ingredients,26,50000,: 5,Gummi Dragon order.png,5,Easy,2,
580,40,Gummy_Gardens_(Episode_40),Mixed,23,150000,: 10 : 52 : 5,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Gummi Dragon order.png,10|52|5,Extremely hard,8,
581,40,Gummy_Gardens_(Episode_40),Order,15,10300,: 40 : 33,Bubblegum Pop order.png|One-layered Toffee Swirl.png,40|33,Very easy,1,
582,40,Gummy_Gardens_(Episode_40),Jelly,25,100000,: 57,Double jelly-removebg-preview.png,57,Somewhat easy,3,
583,40,Gummy_Gardens_(Episode_40),Ingredients,22,60000,: 3,Gummi Dragon order.png,3,Very easy,1,
584,40,Gummy_Gardens_(Episode_40),Mixed,26,103600,: 21 : 50,Double jelly-removebg-preview.png|One-layered Toffee Swirl.png,21|50,Very easy,1,
585,40,Gummy_Gardens_(Episode_40),Jelly,18,128000,: 8 : 56,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,8|56,Hard,6,
586,40,Gummy_Gardens_(Episode_40),Order,17,30000,: 140,Icing order new.png,140,Very easy,1,
587,40,Gummy_Gardens_(Episode_40),Mixed,23,144500,: 53 : 52,Double jelly-removebg-preview.png|One-layered Toffee Swirl.png,53|52,Very easy,1,
588,40,Gummy_Gardens_(Episode_40),Jelly,15,100000,: 54,Double jelly-removebg-preview.png,54,Easy,2,
589,40,Gummy_Gardens_(Episode_40),Order,28,7000,: 49 : 87,Bubblegum Pop order.png|One-layered Toffee Swirl.png,49|87,Somewhat hard,5,
590,40,Gummy_Gardens_(Episode_40),Mixed,22,120000,: 51 : 60,Double jelly-removebg-preview.png|Bubblegum Pop order.png,51|60,Very hard,7,
591,41,Wafer_Windmill,Jelly,29,130000,: 13 : 45,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,13|45,Easy,2,
592,41,Wafer_Windmill,Order,31,7000,: 95,One-layered Toffee Swirl.png,95,Somewhat hard,5,
593,41,Wafer_Windmill,Ingredients,20,30000,: 3,Gummi Dragon order.png,3,Very easy,1,
594,41,Wafer_Windmill,Mixed,30,160000,: 60 : 2,Double jelly-removebg-preview.png|Gummi Dragon order.png,60|2,Hard,6,
595,41,Wafer_Windmill,Order,28,9000,: 45 : 138,One-layered Toffee Swirl.png|Gumballs.png,45|138,Hard,6,
596,41,Wafer_Windmill,Ingredients,27,50000,: 8,Gummi Dragon order.png,8,Easy,2,
597,41,Wafer_Windmill,Jelly,22,100000,: 60,Double jelly-removebg-preview.png,60,Extremely hard,8,
598,41,Wafer_Windmill,Order,25,60000,: 25 : 25,Chocolate order.png|Striped2 (trans).png,25|25,Somewhat easy,3,
599,41,Wafer_Windmill,Mixed,29,30000,: 47 : 27 : 35 : 26,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Liquorice Swirl order.png|One-layered Toffee Swirl.png,47|27|35|26,Hard,6,
600,41,Wafer_Windmill,Jelly,29,120000,: 54,Double jelly-removebg-preview.png,54,Very hard,7,Formerly the first level with cannons that can dispense three types of items. The 6th milestone level in Reality
601,41,Wafer_Windmill,Ingredients,26,60000,: 1,Gummi Dragon order.png,1,Somewhat hard,5,
602,41,Wafer_Windmill,Mixed,24,90000,: 73 : 70 : 15,Double jelly-removebg-preview.png|Bubblegum Pop order.png|One-layered Toffee Swirl.png,73|70|15,Nearly impossible,9,
603,41,Wafer_Windmill,Jelly,25,50000,: 45,Double jelly-removebg-preview.png,45,Very easy,1,
604,41,Wafer_Windmill,Order,20,11000,: 35 : 80,Gumballs.png|Icing order new.png,35|80,Hard,6,
605,41,Wafer_Windmill,Mixed,27,90000,: 8 : 63 : 10,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Yellowcandy order.png,8|63|10,Extremely hard,8,
606,42,Cereal_Sea,Ingredients,27,6000,: 6,Gummi Dragon order.png,6,Very easy,1,was formerly introduced here
607,42,Cereal_Sea,Jelly,20,110000,: 79,Double jelly-removebg-preview.png,79,Very hard,7,
608,42,Cereal_Sea,Order,26,130000,: 90,One-layered Toffee Swirl.png,90,Somewhat easy,3,
609,42,Cereal_Sea,Mixed,26,100000,: 71 : 4,Double jelly-removebg-preview.png|Gummi Dragon order.png,71|4,Somewhat easy,3,
610,42,Cereal_Sea,Mixed,22,40000,: 63 : 90,Double jelly-removebg-preview.png|Redcandy order.png,63|90,Somewhat hard,5,
611,42,Cereal_Sea,Ingredients,27,60000,: 4,Gummi Dragon order.png,4,Easy,2,
612,42,Cereal_Sea,Mixed,20,107000,: 45 : 28 : 40 : 49,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Liquorice Swirl order.png|Gumballs.png,45|28|40|49,Hard,6,
613,42,Cereal_Sea,Jelly,25,150000,: 73,Double jelly-removebg-preview.png,73,Easy,2,
614,42,Cereal_Sea,Mixed,20,12000,: 61 : 15,Double jelly-removebg-preview.png|Wrapped2 (trans).png,61|15,Nearly impossible,9,
615,42,Cereal_Sea,Mixed,20,100000,: 81 : 4,Double jelly-removebg-preview.png|Gummi Dragon order.png,81|4,Extremely hard,8,
616,42,Cereal_Sea,Order,21,900,: 9,Liquorice Swirl order.png,9,Medium,4,
617,42,Cereal_Sea,Mixed,27,125600,: 29 : 22 : 50,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Bubblegum Pop order.png,29|22|50,Very hard,7,
618,42,Cereal_Sea,Ingredients,31,200000,: 20,Gummi Dragon order.png,20,Very easy,1,Used to be the first level since level 462
619,42,Cereal_Sea,Jelly,28,152000,: 76,Double jelly-removebg-preview.png,76,Very hard,7,This level was originally a level. As well as the exact copy of level 609.
620,42,Cereal_Sea,Order,26,16000,: 76 : 105,Gumballs.png|Bubblegum Pop order.png,76|105,Extremely hard,8,
621,43,Taffy_Tropics,Jelly,25,3000,: 26,Single jelly-removebg-preview (1).png,26,Very easy,1,Introduction of jelly jars
622,43,Taffy_Tropics,Jelly,30,12000,: 104,Single jelly-removebg-preview (1).png,104,Very easy,1,
623,43,Taffy_Tropics,Mixed,30,19200,: 104 : 72,Single jelly-removebg-preview (1).png|Bubblegum Pop order.png,104|72,Very easy,1,This level was originally a level
624,43,Taffy_Tropics,Ingredients,25,280000,: 28,Gummi Dragon order.png,28,Hard,6,
